,text_employer,category,pred
90,звать сбербанк_бизнес звонить мать разговаривать перезвонить удобный работать ваш перезвонить удобно ответить обсудить направить контакт вопрос дальнейший мочь обратиться хороший перезвонить свидание,Бизнес-карта,Открытие банковского счета
108,здравствуйте звать сбербанк блок сбер бизнес обслуживание корпоративный клиент звонить организация отп ярый газ арматура номер_телефон указать качество контактный переговорить вопрос взаимодействие звонить перезвонить свидание хороший день,Зарплатные проекты,Бизнес-карта
131,добрый_день любовь верно звать сбербанк любовь разговаривать ранее повод подача заявка онлайн уточнить э например перезвонить помочь формирование заявка онлайн среда обязательно перезвонить добрый свидание,Открытие банковского счета,Эквайринг
137,добрый_день персонально клиентский_менеджер звать э сбербанк блок сбер бизнес звонить ип подсказать удобно уделить минута звонить цель ваш организация закрепить удалённый менеджер направить контакт возникновение вопрос рада помочь будни звонить большинство услуга подключаться дистанционно понять добрый свидание,Эквайринг,Зарплатные проекты
161,добрый_день персональный_менеджер_сбербанк блок сбер бизнес звонить организация удобно минута приложение который хотеться обсудить ранее говорить повод перевод рамка зарплатный_договор говорить переговорить бухгалтер возможно помощь нужный ранее перевод делать другой контактный перезвонить звонок входящий поступать смс уведомление отправить контакт номер э позвонить телефон везти добавочный номер телефон заканчиваться отправить смс контакт отправить близкий поступить э номер смс сообщение возможно какой вопрос к готовый пойти такой случай потребоваться оформить услуга сбер ошибка какой пытаться провести операция бизнес карта счёт карта_физический_лицо организация идти сказать смотреть телефон позвонить номер_телефон голосовой меню соединить оператор идти линия поддержка физический_лицо проверить данный информация карта линия подсказать информация звонить организация лес такой случай какой вопрос возникать звонить контакт большой дистанционно сэкономить рада помочь уделить хороший свидание,Зарплатные проекты,Бизнес-карта
169,добрый_день приятно сбербанк_бизнес клиентский_менеджер звонить представитель организация ооо купить тур хотеть сообщить услышать услышать контактный комментарий указать организация ликвидировать действовать извинить,Бизнес-карта,Зарплатные проекты
170,добрый_день некоторый персональный_менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно сбербанк сказать такой случай перезвонить завтра устроить такой случай завтра перезвонить уделить хороший свидание,Зарплатные проекты,Бизнес-карта
253,добрый клиентский_менеджер сбер бизнес ранее связываться сказать удобно удобный предложение приложение банк звонить понять позволить уточнить э информация неактивный расчётный счёт сбербанк пользоваться возможно вопрос мочь помочь дальнейший пользоваться правильно понимать понять контакт направить будущее потребоваться помощь обязательно обращаться рада помочь добрый хороший день свидание,Зарплатные проекты,Открытие банковского счета
262,добрый_день персональный клиентский_менеджер сбер бизнес звонить индивидуальный_предприниматель удобно разговаривать быстро хотеть уточнить подключить зарплатный_проект просить прощение торговый_эквайринг сбербанк последний неактивный стать пользоваться терминал сбербанк эквайринг возникнуть какой вопрос нужный консультация благодарить предоставить информация направить смс сообщение номер личный контакт возникать вопрос услуга_банка консультация обращаться большинство услуга оформлять дистанционно рада помочь благодарить уделить наступать праздник добрый свидание,Эквайринг,Зарплатные проекты
273,добрый_день персональный_менеджер_сбербанк бог сбер бизнес звонить организация ооо каскад отношение дать организация озвучить предложение сбер бизнес перезвонить поздний директор мочь обращаться к ваш организация дать вопрос перевести операционный поддержка ваш директор помочь восстановить доступ сбербанк_бизнес_онлайн удобный перезвонить перевести операционный поддержка возможно номер мочь предоставить давать обращаться руководитель предложение привязать оповещение понять операционный поддержка проверить указать корректно номер_телефон перезвонить удобно большой направлять контактный дать возникновение вопрос ваш организация каскад обращаться рада помочь большинство продукт оформить дистанционно добрый хороший день свидание,Открытие банковского счета,Бизнес-карта
326,добрый_день здравствуйте звать персональный_менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно поговорить звонить предложение дополнительный сервис сбербанк хотеться обсудить удобный перезвонить поздний выходной перезвонить удобный половина день половина день большой свидание,Зарплатные проекты,Бизнес-карта
374,добрый_день раесович звать сбербанк звонить предприниматель удобно разговаривать перезвонить какой удобно завтра раздел какой оформить направить контакт смс сообщение сообщение номер дальнейший вопрос продукт совкомбанк к обращаться контакт направить номер звонить большой информация уделить хороший удачный день свидание завтра перезвонить,Зарплатные проекты,Открытие банковского счета
384,добрый_день персональный_менеджер бизнес звонить индивидуальный_предприниматель удобно понимать общаться извинить беспокоить кратко хотеть рассказать доступно специальный предложение бизнес карта возможность карта заказать бесплатный обслуживание хотеть понять понять понять предприниматель переводить рубль комиссия платёжный поручение счёт физический_лицо пользоваться возможность платёжный поручение получаться платёж контрагент переводить счёт физический_лицо личный_карта сбербанк месяц рубль накопительный итог мочь переводить подключить зарплатный_проект бесплатный обслуживание финансовый нагрузка рамка зарплатный_проект смочь рубль переводить ваш личный_карта сбербанк один перевод код называться перевод средство тп наличный счёт предприниматель заработный_плата начислять мочь возможность снятие средство расчётный счёт такой образ потребность подключение зарплатный_проект помочь личный_кабинет подключаться буквально минута процедура занимать либо платёжный поручение помочь формирование платёжный поручение карта иметь вид карта_физический_лицо бизнес_карта взяться комиссия составлять один целый процент сумма перевод минимум рубль мочь карта система налогообложение р р э налоговый отчитываться бизнес карта мочь использовать обычный карта оплачиваться бизнес оплачиваться потребность физический_лицо поскольку отчитываться налоговый расход расчётный счёт мочь экономить снятие наличный плата комиссия_банка карта приобретать оплачивать сходить работать бизнес э система налог налогообложение либо патент мочь карта использовать карта_физический_лицо налоговый отчитываться расход расчётный счёт подумать бизнес_карта перезвонить поздний возможность оформить бесплатный обслуживание внутри понять мой контакт помощь звонить рада помочь большой услуга дистанционно подключать добрый добрый свидание,Бизнес-карта,Зарплатные проекты
399,добрый_день персональный_менеджер сбербанк_бизнес звонить организация регион удобно указать ранее заинтересовать дать продукт торговый_эквайринг сказать актуально какой вопрос возникнуть сказать интересоваться торговый_эквайринг некорректно отобразить услышать корректно отобразиться сказать вопрос другой услуга продукт сбербанк помочь дополнительно направить контактный дать смс сообщение номер поступить возникнуть какой либо вопрос потребоваться оформить услуга_банка мочь звонить большинство услуга смочь дистанционно подключить помочь благодарить уделить добрый свидание,Эквайринг,Зарплатные проекты
405,добрый_день сбербанк персональный_менеджер сказать удобно разговаривать располагать время сказать завтра перезвонить удобно звонок предложение банк хотеть договориться послезавтра перезвонить свидание добрый,Бизнес-карта,Зарплатные проекты
409,сбербанк блок сбер бизнес клиентский_менеджер вера удобно данный номер_телефон слышать слышать данный номер_телефон мочь проверить официальный сайт сбербанк номер звонить сбербанк отправить контакт смс сообщение прийти номер добавочный к обращаться звонить индивидуальный_предприниматель предложение хотеть задать вопрос подойти перезвонить удобно удобно перезвонить добрый,Зарплатные проекты,Бизнес-карта
421,добрый_день звать сбербанк блок сбер бизнес звонить организация округ сказать иметь отношение дать организация обращаться иметь отношение дать организация просить прощение беспокойство удалить номер список контактный добрый свидание,Открытие банковского счета,Бизнес-карта
428,добрый_день персональный_менеджер сбер бизнес звонить организация удобно занять пара минута уделить предложение действовать услуга уточнить стать активно пользоваться свой расчётный счёт сказать расчётный счёт друг банк устраивать работа наш расчётный счёт насколько удобно обратный связь понять обновиться пакет_услуга предложить подобрать пакет_услуга операция перевести сбербанк уверить выгодно сказать тариф обновиться муж подобрать пакет_услуга ваш потребность смотреть платёжный поручение совершать хотеть ознакомиться приблизительно платёж совершать клиент банк месяц получаться месяц сказать э объёмный объём денежный_средство физический_лицо переводить счёт юридический_лицо переводиться вносить планироваться расчётный счёт вносить поступление поступление рекомендовать тариф называться набирать оборот стоимость тариф рубль месяц внутри сбербанк платёж бесплатный платёж сторонний банк идти бесплатно идти последующий платёж рубль платёжный поручение платёж рубль месяц тариф один рубль предоставляться бесплатно обслуживание бизнес карта смс информирование карта идти бесплатный сказать подходить тариф мочь перейти ваш тариф тариф личный_кабинет сбер бизнес удобно выслать ссылка сайт мочь подсчитать информация тариф линейка обновиться почта видеть смочь буква записывать слышаться доллар написать точка отправить ссылка тариф э возможно подобрать вариант подходящий обслуживаться хотеть уточнить физический_лицо рамка деятельность оплата принимать будущее появиться необходимость приём оплата физический_лицо сбербанк раб предложить услуга торговый_эквайринг суть возможность безналичный оплата клиент продукт интересовать деятельность вопрос контакт ранее направлять сохранить продублировать почта информация мочь обратно письмо вопрос возникнуть звонить мой номер поступить вид смс сообщение номер обращаться большинство услуга дистанционно подключать экономить рад помочь хороший день свидание,Эквайринг,Открытие банковского счета
438,добрый персональный_менеджер сбер бизнес звонить организация повесить удобно заём убрать хотеть уточнить стать неактивный пользоваться зарплатный_проект сбербанк сказать реестр перечислять возможно использовать услышать корректный информация повесить работать давать уточнить закрываться декабрь прошлый декабрь закрыться счёт закрывать получаться услышать давать уточнить оставаться линия уделить ожидание уточнить счёт оставить поздравлять деятельность э счёт использовать расчёт пакет_услуга лёгкий старт подключить выполнить тариф лёгкое старт пакет лёгкий старт рубль обслуживание какой дополнительный опция возможно подключить давать такой образ поступить информация ваш организация видеть сожаление переключить операционный поддержка подсказать тариф который счёт открыть расчётный попробовать счёт открыть ваш данные либо операционный поддержка переключить посмотреть тариф неудобно неудобно мочь самостоятельно обратиться горячий номер добавочно операционный поддержка уделить дальнейший радость сотрудничать возобновлять деятельность контакт направить большинство услуга подключаться дистанционный дальнейший рад помочь мочь к обращаться добрый хороший день свидание,Зарплатные проекты,Открытие банковского счета
442,сбербанк_бизнес здравствуйте слушать назвать наименование организация далее далее индивидуальный_предприниматель фамилия отчество помочь код клиент назвать проверить информация озвучить последний цифра расчётный счёт расходный операция счёт дата сумма выписка последний операция расходный счёт озвучить приложение код клиент смочь мобильный приложение сбер бизнес код клиент рассказать вверху левый нажать человечек вверху левый нажать профиль нарисовать связаться банк связаться банк низ показать контакт показать контакт контакт минута верный информация проверять оставаться линия некоторый ожидание написать банк причина отказ зачитать банк идентифицировать указанный заявка мочь оформить продукт любой отделение_банка физический_лицо либо актуализировать дать держатель карта любой отделение_банка физический_лицо суть оформление цифровой бизнес карта уточнять дать причина отказ необходимо прислать отделение работа физический_лицо отдать паспорт специалист актуализировать дать система банк причина отказ далее прокомментировать сожаление просить актуализировать паспортный дать такой формулировка актуализировать попробовать оформить заявка суть следующий либо выбрать бизнес карта уточнить физический_лицо сожаление информация располагать обслуживать физический_лицо должный специалист отделение обрабатываться запрос просить актуализировать дать физический_лицо оформление дать бизнес_карта карта оформляться держатель сотрудник мочь повторить запретить консультировать сотрудник линия клиент идентифицировать линия самостоятельно специалист физический_лицо физический_лицо юридический_лицо говорить слово юридический_лицо физический_лицо актуализировать дать держатель карта являться держатель карта держатель карта оформляться оформлять следовательно зачитывать один говорить заявка номер третий февраль держатель дать карта карта банк отказать дать актуализировать физический_лицо карта тот причина отказ актуализировать дать держатель карта любой отделение здравствуйте звать рада помочь звать диктовать далее далее информация услуга хотеть оформить говорить цифровой бизнес карта оформляться дистанционно обращение офис отделение персонализировать информация счёт линия операционный поддержка перевести специалист проверить информация прокомментировать обращаться отделение офис обслуживать юридический_лицо индивидуальный_предприниматель наверное начать начать линия операционный поддержка персонализировать информация счёт специалист проверить далее пояснять переводить вопрос остаться ожидать,Открытие банковского счета,Бизнес-карта
